PCR -0,88D5D85F9AF6A31346F6B100BE7376F98138F47C
PCR -1,72DE4DE4EE7D750307D8E0DCC19C42B9B4BDA85C
PCR -2,B26E2389089A44E3471B0133BD165468D5302175
PCR -3,3A3F780F11A4B49969FCAA80CD6E3957C33B2275
PCR -4,C4887E3B3C29E0727D34465626AC5D645B534794
PCR -5,DA696B3EC0098A73B22579FFEB70E3CB79CE4BD5
PCR -6,78CD7759866A77D03103C2035BF7DC7E61DC192E
PCR -7,3A3F780F11A4B49969FCAA80CD6E3957C33B2275
PCR -8,0
PCR -9,0
PCR -10,0
PCR -11,0
PCR -12,0
PCR -13,0
PCR -14,0
PCR -15,BE211D909253017BD70ED86AA205048B8510C7B6
PCR -16,0
PCR -18,9935f7b8c9b38b094907fa38cad2cd4f42da01d3
PCR -18,D751E85C6DAC4A918014F29F0375025DC9A4E4F1
PCR -19,FB9DDA4D0CD90B3C336F59DEB8645E8215A2B527
PCR -20,0
PCR -21,0
PCR -22,0
PCR -23,73dd23fbf7305026d819b28916a6c00d2e5dc625
